Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100n","C_0402_1005Metric",33.475000,-49.050000,0.000000,top
"C2","100n","C_0402_1005Metric",20.400000,-34.925000,0.000000,top
"C3","3p3","C_0402_1005Metric",30.980000,-37.890000,0.000000,top
"C4","3p3","C_0402_1005Metric",30.975000,-34.900000,0.000000,top
"C5","22p","C_0402_1005Metric",25.600000,-35.200000,0.000000,top
"C6","22p","C_0402_1005Metric",23.500000,-36.500000,180.000000,top
"C7","22p","C_0402_1005Metric",35.025000,-41.950000,-90.000000,top
"C8","22p","C_0402_1005Metric",35.025000,-40.050000,90.000000,top
"C9","10u","C_0603_1608Metric",32.975000,-50.375000,0.000000,top
"C10","22u","C_0805_2012Metric",32.725000,-59.675000,0.000000,top
"C11","10u","C_0603_1608Metric",33.600000,-36.600000,0.000000,top
"C12","100n","C_0402_1005Metric",32.450000,-39.750000,90.000000,top
"C13","100n","C_0402_1005Metric",17.825000,-68.225000,90.000000,top
"C14","10u","C_0603_1608Metric",27.400000,-46.400000,-90.000000,top
"C15","100n","C_0402_1005Metric",26.000000,-45.900000,-90.000000,top
"C16","100n","C_0402_1005Metric",24.300000,-40.800000,180.000000,top
"C17","100n","C_0402_1005Metric",29.400000,-36.750000,90.000000,top
"C18","100n","C_0402_1005Metric",27.850000,-36.550000,180.000000,top
"C19","100n","C_0402_1005Metric",18.475000,-59.900000,-90.000000,top
"D1","WHT","LED_0603_1608Metric",27.450000,-60.100000,0.000000,top
"D2","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",20.775000,-54.025000,0.000000,top
"D3","RED","LED_0603_1608Metric",18.900000,-41.600000,0.000000,top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",31.150000,-72.374951,0.000000,top
"L1","2n2","L_0402_1005Metric",30.500000,-36.400000,90.000000,top
"L2","2n2","L_0402_1005Metric",36.315000,-36.400000,0.000000,top
"Q1","MMBT3904","SOT-23",19.800000,-44.700000,90.000000,top
"R1","5K1","R_0402_1005Metric",18.475000,-34.900000,0.000000,top
"R2","5K1","R_0402_1005Metric",35.275000,-64.399951,0.000000,top
"R3","5K1","R_0402_1005Metric",28.475000,-64.399951,180.000000,top
"R4","1K5","R_0402_1005Metric",30.075000,-59.750000,-90.000000,top
"R5","5K1","R_0402_1005Metric",20.915000,-50.675000,0.000000,top
"R6","1K5","R_0402_1005Metric",19.400000,-40.000000,0.000000,top
"R7","5K1","R_0402_1005Metric",18.590000,-38.700000,0.000000,top
"SW1","RESET","SW_Push_SPST_NO_Alps_SKRK",22.375000,-74.700000,180.000000,top
"SW2","BOOT","SW_Push_SPST_NO_Alps_SKRK",22.400000,-69.525000,180.000000,top
"U1","USBLC6-2SC6","SOT-23-6",31.825000,-62.449951,180.000000,top
"U2","ESP32-C3-FH4","QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm",28.730000,-41.690000,-90.000000,top
"U3","AZ1117-3.3","SOT-223-3_TabPin2",30.000000,-55.000000,180.000000,top
"Y1","32K (C32346)","Crystal_SMD_3215-2Pin_3.2x1.5mm",19.625000,-36.750000,180.000000,top
"Y2","40Mhz (C252256)","Crystal_SMD_3225-4Pin_3.2x2.5mm",37.350000,-41.275000,-90.000000,top
